Month,Sensex,Gsec,Sensex-percent,Gsec-percent,Sensex-1000,Gsec-1000
1-September-2017,26626.46,483.45,-0.000989617095175,-0.0134657151722,2128.1209825108,1516.73098358749
1-October-2017,27655.96,489.6,0.037225249096397,0.012561274509804,2207.34081619204,1535.78305782986
1-November-2017,28743.32,477.09,0.037830007111218,-0.026221467647614,2290.84453496546,1495.51257206522
1-December-2017,29620.5,485.61,0.029613949798282,0.017544943473158,2358.6854900196,1521.7512556055
1-January-2018,29918.4,479.54,0.009957083266485,-0.012657963882054,2382.17111784317,1502.48898317457
1-February-2018,31145.8,486.46,0.03940820271112,0.014225218928586,2476.04820014771,1523.86221789802
1-March-2018,30921.61,494.37,-0.007250269310039,0.016000161822117,2458.096183872,1548.244259979
1-April-2018,32514.94,498.72,0.049003012153798,0.008722329162656,2578.55030104548,1561.74855603873
1-May-2018,31730.49,499.19,-0.024722278162108,0.000941525270939,2514.80266324805,1563.21898177109
1-June-2018,31283.72,497.74,-0.014281229981601,-0.002913167517178,2478.88818805586,1558.66506301116
1-July-2018,33213.13,492.53,0.058091784785114,-0.010578035855684,2622.89122718276,1542.17744808763
1-August-2018,33149.35,488.03,-0.001924019626327,-0.009220744626355,2617.84473298394,1527.95742367029
1-September-2018,34056.83,480.38,0.026646050146182,-0.015924892793205,2687.59995501395,1503.62486550575
1-October-2018,35965.02,476.75,0.053056831332222,-0.007614053487153,2830.19549251561,1492.17618535518
1-November-2018,34184.04,469.94,-0.052099751814004,-0.01449121164404,2682.74300977044,1470.552744443
1-December-2018,32968.68,486.28,-0.03686407827065,0.033602039976968,2583.84616147822,1519.96631655002
1-January-2019,35160.36,473.91,0.062333832759392,-0.026102002489924,2744.9071959838,1480.29215197083
1-February-2019,35322.38,476.54,0.00458689363514,0.005518949091367,2757.49779333011,1488.4618089979
1-March-2019,35423.48,475.96,0.002854039185309,-0.001218589797462,2765.36780008568,1486.64798462355
1-April-2019,37606.58,482.91,0.058051011285791,0.01439191567787,2925.90019745781,1508.04369706092
1-May-2019,38645.07,480.75,0.026872509223039,-0.004492979719189,3004.52647749969,1501.26808731438
1-June-2019,36227.14,481.22,-0.066743607140945,0.000976684260837,2803.99354264088,1502.73435222656
1-July-2019,34442.05,489.28,-0.051828796485691,0.016473185088293,2658.66593197216,1527.48917334932
1-August-2019,36194.3,500.36,0.048412319066814,0.022144056279479,2787.37811536286,1561.31397957026
1-September-2019,36068.33,512.42,-0.003492537636203,0.023535381132665,2777.64309238863,1598.06009914721
1-October-2019,36256.69,509.54,0.005195179151765,-0.005652156847352,2792.07344587325,1589.02761281533
,35867.44,507.06,-0.0108524611737,-0.004890939928214,2761.77257720779,1581.25577421678
,38672.91,515.35,0.072543545339619,0.016086155040264,2962.12135138018,1606.69209975914
,39031.55,515.94,0.009188464203958,0.001143543822925,2989.33869738512,1608.52942258516
,39714.2,530.9,0.017189065875682,0.02817856470145,3040.7226371792,1653.85547299367
,39394.64,540.36,-0.008111763427715,0.017506847286994,3016.0570144971,1682.80926819413
,37481.12,562.11,-0.051052903435116,0.038693494155948,2862.07854698118,1747.92303877857
,37332.79,557.13,-0.003973182824,-0.008938667815411,2850.70698565737,1732.29893536802
,38667.33,555.25,0.03451337343437,-0.003385862224223,2949.09450040533,1726.4336098417
,37531.98,557.16,-0.0302502026272,0.003428099648216,2859.88379420131,1732.35199629227
